id,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
49,CAT,Caterpillar Inc.,Industrials,Irving,Texas,2024-05-17,352,356,0.93,2104300,$174.23 B
50,VZ,Verizon,Communication Services,New York City,New York,2024-05-17,40,40,-0.82,14666700,$168.62 B
51,AMGN,Amgen,Health Care,Thousand Oaks,California,2024-05-17,315,312,-0.89,1973600,$167.62 B
52,MS,Morgan Stanley,Financials,New York City,New York,2024-05-17,99,100,0.32,4690500,$162.87 B
53,PFE,Pfizer,Health Care,New York City,New York,2024-05-17,28,28,-0.9,26078600,$162.29 B
54,NOW,ServiceNow,Information Technology,Santa Clara,California,2024-05-17,765,765,0.01,875000,$157.13 B
55,NEE,NextEra Energy,Utilities,Juno Beach,Florida,2024-05-17,76,76,-0.34,9489900,$156.33 B
56,IBM,IBM,Information Technology,Armonk,New York,2024-05-17,168,169,0.04,2954100,$155.27 B
57,PM,Philip Morris International,Consumer Staples,New York City,New York,2024-05-17,100,99,-1.1,5239600,$155.19 B
58,CMCSA,Comcast,Communication Services,Philadelphia,Pennsylvania,2024-05-17,39,39,-0.03,13732600,$154.08 B
59,BX,Blackstone,Financials,New York City,New York,2024-05-17,128,125,-2.28,3935900,$151.94 B
60,GS,Goldman Sachs,Financials,New York City,New York,2024-05-17,466,467,0.29,1655900,$150.82 B
61,UNP,Union Pacific Corporation,Industrials,Omaha,Nebraska,2024-05-17,246,244,-0.54,2105700,$149.46 B
62,SCHW,Charles Schwab Corporation,Financials,Westlake,Texas,2024-05-17,78,78,0.61,6464600,$144.02 B
63,COP,ConocoPhillips,Energy,Houston,Texas,2024-05-17,120,121,0.67,4449900,$142.34 B
64,ISRG,Intuitive Surgical,Health Care,Sunnyvale,California,2024-05-17,396,398,0.66,716200,$141.46 B
65,NKE,"Nike, Inc.",Consumer Discretionary,Washington County,Oregon,2024-05-17,92,92,0.18,12018200,$139.13 B
66,MU,Micron Technology,Information Technology,Boise,Idaho,2024-05-17,128,125,-2.39,13767500,$138.74 B
67,RTX,RTX Corporation,Industrials,Waltham,Massachusetts,2024-05-17,104,104,-0.49,8500900,$138.51 B
68,SPGI,S&P Global,Financials,New York City,New York,2024-05-17,439,441,0.5,1236200,$138.26 B
69,UBER,Uber,Industrials,San Francisco,California,2024-05-17,66,65,-1.25,15463400,$137.22 B
70,INTC,Intel,Information Technology,Santa Clara,California,2024-05-17,32,31,-0.72,41430700,$135.58 B
71,HON,Honeywell,Industrials,Charlotte,North Carolina,2024-05-17,206,205,-0.44,2267200,$134.12 B
72,LOW,Lowe's,Consumer Discretionary,Mooresville,North Carolina,2024-05-17,232,231,-0.67,1968800,$132.24 B
73,ETN,Eaton Corporation,Industrials,Dublin,Ireland,2024-05-17,332,330,-0.53,1881400,$132.06 B
74,UPS,United Parcel Service,Industrials,Sandy Springs,Georgia,2024-05-17,149,149,-0.23,1937600,$127.68 B
