Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
447,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",2023-12-22,76,76,0.11269478642507513,714563,1330130,$12.27 B
448,CRL,Charles River Laboratories,Health Care,"Wilmington, Massachusetts",2023-12-22,233,234,0.3565857892040464,400631,495254,$12.23 B
449,KMX,CarMax,Consumer Discretionary,"Richmond, Virginia",2023-12-22,75,76,1.2339676843680658,2356139,2251740,$12.20 B
450,JKHY,Jack Henry & Associates,Financials,"Monett, Missouri",2023-12-22,165,165,0.10253513708952083,400163,603398,$12.11 B
451,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",2023-12-22,79,80,0.734224616563314,673307,1072625,$12.08 B
452,MOS,Mosaic Company (The),Materials,"Tampa, Florida",2023-12-22,37,37,-0.5160124805765216,3529298,3879327,$11.98 B
453,PAYC,Paycom,Industrials,"Oklahoma City, Oklahoma",2023-12-22,205,206,0.5915210815212214,516132,886008,$11.96 B
454,EVRG,Evergy,Utilities,"Kansas City, Missouri",2023-12-22,51,51,-0.3343648861434731,1622886,3799805,$11.88 B
455,PNR,Pentair,Industrials,"Worsley, United Kingdom",2023-12-22,71,71,-0.058618568264279976,884263,1445913,$11.85 B
456,TFX,Teleflex,Health Care,"Wayne, Pennsylvania",2023-12-22,254,253,-0.5896911936778686,219837,278048,$11.85 B
457,GL,Globe Life,Financials,"McKinney, Texas",2023-12-22,122,123,0.2412882595978999,370710,654410,$11.59 B
458,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2023-12-22,71,71,0.016329381418958733,995389,1956789,$11.43 B
459,NRG,NRG Energy,Utilities,"Houston, Texas",2023-12-22,49,49,0.9667415748882018,2883497,3247752,$11.29 B
460,APA,APA Corporation,Energy,"Houston, Texas",2023-12-22,35,35,0.06027525819162718,3847687,4367099,$11.10 B
461,WRK,WestRock,Materials,"Atlanta, Georgia",2023-12-22,43,43,-0.09268768475368022,2299846,2936436,$11.09 B
462,NI,NiSource,Utilities,"Merrillville, Indiana",2023-12-22,26,26,-0.12580246793014105,3786990,5126130,$10.95 B
463,PEAK,Healthpeak,Real Estate,"Long Beach, California",2023-12-22,19,19,0.5171249704018107,3892200,5921292,$10.93 B
464,MKTX,MarketAxess,Financials,"New York City, New York",2023-12-22,282,283,0.13494950471516928,229897,403427,$10.83 B
465,QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",2023-12-22,111,111,-0.1119346815779261,1065328,1341413,$10.82 B
466,ALLE,Allegion,Industrials,"Dublin, Ireland",2023-12-22,118,119,0.9132198808283526,704832,971684,$10.74 B
467,FFIV,"F5, Inc.",Information Technology,"Seattle, Washington",2023-12-22,178,179,0.11549404059618938,274297,531782,$10.67 B
468,CDAY,Ceridian,Industrials,"Minneapolis, Minnesota",2023-12-22,68,68,-0.4966424608538396,928987,1310541,$10.63 B
