Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
57,NKE,"Nike, Inc.",Consumer Discretionary,Washington County,Oregon,2024-03-01,103,101,-1.92,6336704,$154.36 B
58,UNP,Union Pacific Corporation,Industrials,Omaha,Nebraska,2024-03-01,252,252,0.05,2723673,$154.26 B
59,AMGN,Amgen,Health Care,Thousand Oaks,California,2024-03-01,276,280,1.39,3768845,$150.23 B
60,PFE,Pfizer,Health Care,New York City,New York,2024-03-01,26,26,-0.88,39196138,$150.15 B
61,MS,Morgan Stanley,Financials,New York City,New York,2024-03-01,86,86,0.3,4824323,$141.42 B
62,LOW,Lowe's,Consumer Discretionary,Mooresville,North Carolina,2024-03-01,240,244,1.84,2712235,$140.45 B
63,ISRG,Intuitive Surgical,Health Care,Sunnyvale,California,2024-03-01,383,397,3.76,2193537,$140.19 B
64,PM,Philip Morris International,Consumer Staples,New York City,New York,2024-03-01,89,89,0.0,4201451,$139.46 B
65,SPGI,S&P Global,Financials,New York City,New York,2024-03-01,428,429,0.24,1484354,$134.75 B
66,COP,ConocoPhillips,Energy,Houston,Texas,2024-03-01,113,114,0.39,5093050,$134.39 B
67,SYK,Stryker Corporation,Health Care,Kalamazoo,Michigan,2024-03-01,348,353,1.26,1321204,$134.32 B
68,HON,Honeywell,Industrials,Charlotte,North Carolina,2024-03-01,197,198,0.55,2784582,$129.57 B
69,LRCX,Lam Research,Information Technology,Fremont,California,2024-03-01,945,981,3.87,1110339,$128.68 B
70,GS,Goldman Sachs,Financials,New York City,New York,2024-03-01,389,388,-0.39,1558097,$126.35 B
71,UPS,United Parcel Service,Industrials,Sandy Springs,Georgia,2024-03-01,148,148,0.03,2935673,$126.24 B
72,PLD,Prologis,Real Estate,San Francisco,California,2024-03-01,133,134,1.17,2786445,$124.49 B
73,BA,Boeing,Industrials,Arlington,Virginia,2024-03-01,204,200,-1.96,11264639,$122.03 B
74,T,AT&T,Communication Services,Dallas,Texas,2024-03-01,16,16,0.65,23802386,$121.45 B
75,BLK,BlackRock,Financials,New York City,New York,2024-03-01,811,814,0.43,431070,$121.36 B
76,SCHW,Charles Schwab Corporation,Financials,Westlake,Texas,2024-03-01,66,66,-0.23,7874881,$121.27 B
77,BKNG,Booking Holdings,Consumer Discretionary,Norwalk,Connecticut,2024-03-01,3482,3499,0.49,348293,$119.59 B
78,RTX,RTX Corporation,Industrials,Waltham,Massachusetts,2024-03-01,89,89,0.09,6099221,$119.15 B
79,ETN,Eaton Corporation,Industrials,Dublin,Ireland,2024-03-01,289,293,1.5,2311272,$117.27 B
80,ELV,Elevance Health,Health Care,Indianapolis,Indiana,2024-03-01,499,499,-0.1,1224786,$116.13 B
81,NEE,NextEra Energy,Utilities,Juno Beach,Florida,2024-03-01,55,55,-0.09,15396584,$113.31 B
82,TJX,TJX Companies,Consumer Discretionary,Framingham,Massachusetts,2024-03-01,99,98,-0.88,7110310,$112.27 B
83,VRTX,Vertex Pharmaceuticals,Health Care,Cambridge,Massachusetts,2024-03-01,423,432,2.26,1091462,$111.79 B
84,MDT,Medtronic,Health Care,Dublin,Ireland,2024-03-01,83,83,0.22,2930818,$111.16 B
85,PGR,Progressive Corporation,Financials,Mayfield Village,Ohio,2024-03-01,189,187,-0.72,2872866,$110.01 B
86,REGN,Regeneron,Health Care,Tarrytown,New York,2024-03-01,967,982,1.58,370528,$107.88 B
87,C,Citigroup,Financials,New York City,New York,2024-03-01,55,55,0.22,12281557,$106.27 B
88,SBUX,Starbucks,Consumer Discretionary,Seattle,Washington,2024-03-01,94,93,-1.37,7915574,$105.48 B
89,MU,Micron Technology,Information Technology,Boise,Idaho,2024-03-01,91,95,3.51,23219980,$105.04 B
90,LMT,Lockheed Martin,Industrials,Bethesda,Maryland,2024-03-01,427,426,-0.34,1058474,$103.05 B
91,DE,John Deere,Industrials,Moline,Illinois,2024-03-01,365,367,0.78,1943058,$102.99 B
92,BMY,Bristol Myers Squibb,Health Care,New York City,New York,2024-03-01,50,50,-0.1,10795063,$102.91 B
93,ADP,Automated Data Processing,Industrials,Roseland,New Jersey,2024-03-01,249,249,0.23,2090631,$102.57 B
94,ABNB,Airbnb,Consumer Discretionary,San Francisco,California,2024-03-01,157,159,1.58,5298210,$101.88 B
95,CB,Chubb Limited,Financials,Zurich,Switzerland,2024-03-01,251,250,-0.25,1394928,$101.69 B
96,MMC,Marsh McLennan,Financials,New York City,New York,2024-03-01,201,202,0.09,1399092,$99.31 B
97,BSX,Boston Scientific,Health Care,Marlborough,Massachusetts,2024-03-01,66,67,1.18,5632604,$98.49 B
98,PANW,Palo Alto Networks,Information Technology,Santa Clara,California,2024-03-01,311,302,-2.93,11282509,$97.71 B
99,MDLZ,Mondelez International,Consumer Staples,Chicago,Illinois,2024-03-01,72,72,-0.67,5652259,$97.44 B
100,CI,Cigna,Health Care,Bloomfield,Connecticut,2024-03-01,336,332,-0.9,1472729,$97.39 B
101,ADI,Analog Devices,Information Technology,Wilmington,Massachusetts,2024-03-01,192,196,2.01,2933987,$97.28 B
