Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
48,QCOM,Qualcomm,Information Technology,"San Diego, California",2023-12-22,142,142,0.26259528067624704,5037649,8751383,$158.81 B
49,VZ,Verizon,Communication Services,"New York City, New York",2023-12-22,37,37,0.008862188938345394,15131414,22881888,$158.12 B
50,PFE,Pfizer,Health Care,"New York City, New York",2023-12-22,27,27,0.8496162696581121,51325532,66473889,$157.28 B
51,BX,Blackstone,Financials,"New York City, New York",2023-12-22,127,127,0.14364319340802723,3658813,4374664,$156.27 B
52,TXN,Texas Instruments,Information Technology,"Dallas, Texas",2023-12-22,168,168,-0.11886656059436121,3486840,6303879,$152.77 B
53,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",2023-12-22,288,291,1.1898989129652902,2598818,3432816,$151.25 B
54,MS,Morgan Stanley,Financials,"New York City, New York",2023-12-22,91,91,0.13684383198811437,6432171,8964873,$150.61 B
55,AMGN,Amgen,Health Care,"Thousand Oaks, California",2023-12-22,277,277,-0.2558399120294767,1720486,2683850,$148.58 B
56,IBM,IBM,Information Technology,"Armonk, New York",2023-12-22,161,161,0.050484294894564984,2801610,4921690,$147.25 B
57,UNP,Union Pacific Corporation,Industrials,"Omaha, Nebraska",2023-12-22,241,241,-0.05382271409927288,1913699,2836892,$146.62 B
58,PM,Philip Morris International,Consumer Staples,"New York City, New York",2023-12-22,94,94,-0.056264265133403775,3193834,5952162,$145.27 B
59,NOW,ServiceNow,Information Technology,"Santa Clara, California",2023-12-22,703,704,0.11932807947196414,757908,1194578,$144.15 B
60,COP,ConocoPhillips,Energy,"Houston, Texas",2023-12-22,115,116,0.7334950125617821,5174361,8209521,$140.95 B
61,SPGI,S&P Global,Financials,"New York City, New York",2023-12-22,435,436,0.02026135869315024,850249,1390495,$137.79 B
62,GE,General Electric,Industrials,"Boston, Massachusetts",2023-12-22,124,124,0.5123400444105184,3355313,4533772,$136.16 B
63,UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia",2023-12-22,160,160,0.09331319457493228,3300635,3865544,$135.96 B
64,HON,Honeywell,Industrials,"Charlotte, North Carolina",2023-12-22,204,204,0.4066975080708963,2053146,3211304,$135.15 B
65,AXP,American Express,Financials,"New York City, New York",2023-12-22,183,184,0.5364188083256313,2504941,3645298,$134.40 B
66,AMAT,Applied Materials,Information Technology,"Santa Clara, California",2023-12-22,160,161,0.35871505986293073,3608560,5445955,$133.97 B
67,LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",2023-12-22,224,224,-0.10243762383601875,2413220,3814051,$128.35 B
68,UBER,Uber,Industrials,"San Francisco, California",2023-12-22,61,61,0.2400452462849285,21660896,58793442,$127.58 B
69,NEE,NextEra Energy,Utilities,"Juno Beach, Florida",2023-12-22,61,61,-0.4119008879989246,8250127,12327561,$125.50 B
70,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",2023-12-22,69,69,-0.8779901560168772,8959739,12140133,$125.18 B
71,GS,Goldman Sachs,Financials,"New York City, New York",2023-12-22,379,380,0.3769752119771569,1748452,2553896,$125.04 B
72,PLD,Prologis,Real Estate,"San Francisco, California",2023-12-22,134,133,-0.4870307876892922,2345770,4579097,$123.83 B
73,BKNG,Booking Holdings,Consumer Discretionary,"Norwalk, Connecticut",2023-12-22,3502,3506,0.11896241907476451,173567,273708,$123.27 B
74,BLK,BlackRock,Financials,"New York City, New York",2023-12-22,803,799,-0.5023160183720007,607710,853748,$119.14 B
75,RTX,RTX Corporation,Industrials,"Waltham, Massachusetts",2023-12-22,81,81,0.9128106335236504,6383069,7436854,$118.46 B
76,T,AT&T,Communication Services,"Dallas, Texas",2023-12-22,16,16,0.010078953080947287,24031599,42782529,$118.26 B
77,ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California",2023-12-22,329,331,0.7574393621412318,1635087,1639015,$116.73 B
