Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
385,ATO,Atmos Energy,Utilities,"Dallas, Texas",2023-12-22,114,114,0.0,718113,1246576,$16.97 B
386,CMS,CMS Energy,Utilities,"Jackson, Michigan",2023-12-22,58,58,0.0,2721988,2720107,$16.95 B
387,ENPH,Enphase,Information Technology,"Fremont, California",2023-12-22,121,124,2.48,5690515,6575876,$16.94 B
388,JBL,Jabil,Information Technology,"St. Petersburg, Florida",2023-12-22,134,130,-2.99,2208086,4447090,$16.75 B
389,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",2023-12-22,77,77,0.0,2338477,3467889,$16.65 B
390,WDC,Western Digital,Information Technology,"San Jose, California",2023-12-22,50,50,0.0,3108983,5868956,$16.38 B
391,CE,Celanese,Materials,"Irving, Texas",2023-12-22,153,150,-1.96,622275,1003339,$16.38 B
392,ESS,Essex Property Trust,Real Estate,"San Mateo, California",2023-12-22,244,246,0.82,567032,559644,$16.36 B
393,MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee",2023-12-22,135,135,0.0,727207,1038758,$16.23 B
394,TER,Teradyne,Information Technology,"North Reading, Massachusetts",2023-12-22,105,105,0.0,2556792,1972966,$16.10 B
395,IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois",2023-12-22,211,211,0.0,323043,407945,$16.03 B
396,AVY,Avery Dennison,Materials,"Mentor, Ohio",2023-12-22,199,198,-0.5,338032,429536,$16.02 B
397,EQT,EQT,Energy,"Pittsburgh, Pennsylvania",2023-12-22,39,38,-2.56,6426046,6980803,$16.00 B
398,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",2023-12-22,102,101,-0.98,700363,777205,$16.00 B
399,J,Jacobs Solutions,Industrials,"Dallas, Texas",2023-12-22,127,126,-0.79,668551,915320,$15.97 B
400,EG,Everest Re,Financials,"Hamilton, Bermuda",2023-12-22,360,363,0.83,679797,491891,$15.79 B
401,TXT,Textron,Industrials,"Providence, Rhode Island",2023-12-22,79,79,0.0,924684,1272257,$15.60 B
402,LW,Lamb Weston,Consumer Staples,"Eagle, Idaho",2023-12-22,104,107,2.88,1384834,1429619,$15.54 B
403,SYF,Synchrony Financial,Financials,"Stamford, Connecticut",2023-12-22,37,37,0.0,4386216,5519809,$15.54 B
404,CFG,Citizens Financial Group,Financials,"Providence, Rhode Island",2023-12-22,33,32,-3.03,4554051,6813837,$15.37 B
405,L,Loews Corporation,Financials,"New York City, New York",2023-12-22,68,68,0.0,740440,1123678,$15.29 B
406,DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey",2023-12-22,135,135,0.0,653279,1045881,$15.27 B
407,MAS,Masco,Industrials,"Livonia, Michigan",2023-12-22,69,67,-2.9,1729355,1807896,$15.25 B
408,SNA,Snap-on,Industrials,"Kenosha, Wisconsin",2023-12-22,287,287,0.0,213163,289613,$15.16 B
409,POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana",2023-12-22,392,389,-0.77,366666,431230,$15.08 B
410,BG,Bunge Global SA,Consumer Staples,"Chesterfield, Missouri",2023-12-22,105,103,-1.9,1856159,1349029,$15.07 B
411,SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut",2023-12-22,98,97,-1.02,977629,1579869,$14.91 B
412,MGM,MGM Resorts,Consumer Discretionary,"Paradise, Nevada",2023-12-22,43,43,0.0,3993836,5512719,$14.87 B
413,GEN,Gen Digital,Information Technology,"Tempe, Arizona",2023-12-22,23,23,0.0,2367411,3717684,$14.85 B
